,Administration,NAME,Type,titre
11213,Algérie,Relizane ,,Relizane (Algérie)
11214,Algérie,Relizane,Arrondissement ,RelizaneArrondissement (Algérie)
11215,Gabon,Rembo N\'Komi,Cours d\'eau ,Rembo N\KomiCours d\eau (Gabon)
11216,Gabon,Rembo,Royaume ,RemboRoyaume (Gabon)
11217,Algérie,Remchi ,,Remchi (Algérie)
11218,Algérie,Remchi,Commune mixte ,RemchiCommune mixte (Algérie)
11219,Côte-d’Or ; France,Remilly-sur-Tille ,,Remilly-sur-Tille (Côte-d’Or ; France)
11220,Guyane française,Remire-Montjoly ,,Remire-Montjoly (Guyane française)
11221,Guyane française,Remire-Montjoly ,,Remire-Montjoly (Guyane française)
11222,Vosges ; France,Remiremont ,,Remiremont (Vosges ; France)
11223,Guyane française,Rémire ,,Rémire (Guyane française)
11224,Guyane française,Rémire,Îlets de ,RémireÎlets de (Guyane française)
11225,Guyane française,Remontabo,Montagne ,RemontaboMontagne (Guyane française)
11226,Belgique,Renaix ,,Renaix (Belgique)
11227, Algérie,Renan ,,Renan ( Algérie)
11228,Algérie,Renault ,,Renault (Algérie)
11229,Allemagne,Renchen ,,Renchen (Allemagne)
11230,Algérie,Rénier ,,Rénier (Algérie)
11231,Ille-et-Vilaine ; France,Rennes ,,Rennes (Ille-et-Vilaine ; France)
11232,Aisne ; France,Renneval ,,Renneval (Aisne ; France)
11233,Canada,Repentigny,Seigneurie ,RepentignySeigneurie (Canada)
11234,"Martinique, Île de la",République-Ville ,,République-Ville (MartiniqueÎle de la)
11235,,République centrafricaine',,République centrafricaine
11236,,République démocratique du Congo',,République démocratique du Congo
11237,,République des Maldives',,République des Maldives
11238,,République des Philippines',,République des Philippines
11239,,République dominicaine',,République dominicaine
11240,,République du Congo',,République du Congo
11241,,République ligurienne',,République ligurienne
11242,Aveyron ; France,Réquista ,,Réquista (Aveyron ; France)
11243,Ardennes ; France,Rethel-Mazarin ,,Rethel-Mazarin (Ardennes ; France)
11244,Ardennes ; France,Rethel ,,Rethel (Ardennes ; France)
11245,Somme France,Rethonvillers ,,Rethonvillers (Somme France)
11246,Indre ; France,Reuilly ,,Reuilly (Indre ; France)
11247,France,Réunion,Département ,RéunionDépartement (France)
11248,"Mascareignes, Îles",Réunion,Île de la ,RéunionÎle de la (MascareignesÎles)
11249,Haute-Garonne ; France,Revel ,,Revel (Haute-Garonne ; France)
11250,Pyrénées-Orientales ; France,Reynès ,,Reynès (Pyrénées-Orientales ; France)
11251,Tarn-et-Garonne ; France,Reyniès ,,Reyniès (Tarn-et-Garonne ; France)
11252,Loire-Atlantique ; France,Rezé ,,Rezé (Loire-Atlantique ; France)
11253,Charente-Maritime ; France,Ré,Île de ,RéÎle de (Charente-Maritime ; France)
11254,,Rhadamès',,Rhadamès
11255,Algérie,Rhar Roubane ,,Rhar Roubane (Algérie)
11256,Libye,Rhat ,,Rhat (Libye)
11257,Allemagne ; Région historique,Rheinland ,,Rheinland (Allemagne ; Région historique)
11258,Allemagne,Rhénanie,Région géographique ,RhénanieRégion géographique (Allemagne)
11259,Suisse/Pays-Bas,Rhin,Cours d\'eau ,RhinCours d\eau (Suisse/Pays-Bas)
11260,Algérie,Rhira,Commune mixte ,RhiraCommune mixte (Algérie)
11261,,Rhodésie du Sud',,Rhodésie du Sud
11262,Grèce,Rhodes,Île de ,RhodesÎle de (Grèce)
11263,"Rhodes, Île de",Rhodes ,,Rhodes (RhodesÎle de)
11264,,Rhode Island and Providence Plantations,Colonie britannique',Rhode Island and Providence PlantationsColonie britannique
11265,,Rhode Island,Colonie britannique',Rhode IslandColonie britannique
11266,États-Unis,Rhode Island,État ,Rhode IslandÉtat (États-Unis)
11267,Suisse/France,Rhône,Cours d\'eau ,RhôneCours d\eau (Suisse/France)
11268,France,Rhône,Département ,RhôneDépartement (France)
11269,Sénégal,Rhor ,,Rhor (Sénégal)
11270,Algérie,Rhumel,Cours d\'eau ,RhumelCours d\eau (Algérie)
11271,Algérie,Rhumel,Vallée du ,RhumelVallée du (Algérie)
11272,Var ; France,Rians ,,Rians (Var ; France)
11273,Oise ; France,Ribécourt-Dreslincourt ,,Ribécourt-Dreslincourt (Oise ; France)
11274,Aisne ; France,Ribemont ,,Ribemont (Aisne ; France)
11275,Dordogne ; France,Ribérac ,,Ribérac (Dordogne ; France)
11276,Sénégal,Richard-Toll ,,Richard-Toll (Sénégal)
11277,Algérie,Richelieu ,,Richelieu (Algérie)
11278,Canada,Richelieu,Cours d\'eau ,RichelieuCours d\eau (Canada)
11279,Indre-et-Loire ; France,Richelieu ,,Richelieu (Indre-et-Loire ; France)
11280,"Basse-Terre ; Guadeloupe, Île de la",Richepance,Fort ,RichepanceFort (Basse-Terre ; GuadeloupeÎle de la)
11281,"Basse-Terre ; Guadeloupe, Île de la",Richepanse,Fort ,RichepanseFort (Basse-Terre ; GuadeloupeÎle de la)
11282,Haut-Rhin ; France,Riedisheim ,,Riedisheim (Haut-Rhin ; France)
11283,Haute-Garonne ; France,Rieux ,,Rieux (Haute-Garonne ; France)
11284,Alpes-de-Haute-Provence ; France,Riez ,,Riez (Alpes-de-Haute-Provence ; France)
11285,Algérie,Riff ,,Riff (Algérie)
11286,Maroc,Rif,Région géographique ,RifRégion géographique (Maroc)
11287,Algérie,Righa ,,Righa (Algérie)
11288,Algérie,Righia ,,Righia (Algérie)
11289,Gers ; France,Riguepeu ,,Riguepeu (Gers ; France)
11290,Pays-Bas,Rijswijk ,,Rijswijk (Pays-Bas)
11291,Ardennes ; France,Rilly-sur-Aisne ,,Rilly-sur-Aisne (Ardennes ; France)
11292,Ariège ; France,Rimont ,,Rimont (Ariège ; France)
11293,Cantal ; France,Riom-ès-Montagnes ,,Riom-ès-Montagnes (Cantal ; France)
11294,Drôme ; France,Rioms ,,Rioms (Drôme ; France)
11295,Puy-de-Dôme ; France,Riom ,,Riom (Puy-de-Dôme ; France)
11296,Charente ; France,Rioux-Martin ,,Rioux-Martin (Charente ; France)
11297,Algérie,Riou,Cours d\'eau ,RiouCours d\eau (Algérie)
11298,États-Unis/Mexique,Rio Bravo,Cours d\'eau ,Rio BravoCours d\eau (États-Unis/Mexique)
11299,Guinée-Bissau,Rio Cacine,Estuaire ,Rio CacineEstuaire (Guinée-Bissau)
11300,Guinée-Bissau,Rio Cacine,Région géographique ,Rio CacineRégion géographique (Guinée-Bissau)
11301,Guinée-Bissau,Rio Cassini,Estuaire ,Rio CassiniEstuaire (Guinée-Bissau)
11302,Guinée-Bissau,Rio Cassini,Région géographique ,Rio CassiniRégion géographique (Guinée-Bissau)
11303,Guinée,Rio Compony,Cours d\'eau ,Rio ComponyCours d\eau (Guinée)
11304,Guinée Bissau,Rio Corubal,Cours d\'eau ,Rio CorubalCours d\eau (Guinée Bissau)
11305,Brésil,Rio de Janeiro ,,Rio de Janeiro (Brésil)
11306,Colombie,Rio de la Hacha,Cours d\'eau ,Rio de la HachaCours d\eau (Colombie)
11307,,Rio de la Plata,Colonie espagnole',Rio de la PlataColonie espagnole
11308,Argentine/Uruguay,Rio de la Plata,Estuaire du ,Rio de la PlataEstuaire du (Argentine/Uruguay)
11309,Guinée-Bissau,Rio Geba,Estuaire ,Rio GebaEstuaire (Guinée-Bissau)
11310,États-Unis/Mexique,Rio Grande,Cours d\'eau ,Rio GrandeCours d\eau (États-Unis/Mexique)
11311,Guinée/Guinée Bissau,Rio Grande,Cours d\'eau ,Rio GrandeCours d\eau (Guinée/Guinée Bissau)
11312,Guinée,Rio Kapachez,Cours d\'eau ,Rio KapachezCours d\eau (Guinée)
11313,Guinée,Rio Kapatchez,Cours d\'eau ,Rio KapatchezCours d\eau (Guinée)
11314,Guinée équatoriale,Rio Muni,Estuaire ,Rio MuniEstuaire (Guinée équatoriale)
11315,Colombie/Brésil,Rio Negro,Cours d\'eau ,Rio NegroCours d\eau (Colombie/Brésil)
11316,Guinée,Rio Nunez,Cercle ,Rio NunezCercle (Guinée)
11317,Guinée,Rio Nunez,Cours d\'eau ,Rio NunezCours d\eau (Guinée)
11318,Guinée,Rio Nunez,Région géographique ,Rio NunezRégion géographique (Guinée)
11319,Guinée,Rio Pongo,Cercle ,Rio PongoCercle (Guinée)
11320,Guinée,Rio Pongo,Estuaire ,Rio PongoEstuaire (Guinée)
11321,Guinée,Rio Pongo,Région géographique ,Rio PongoRégion géographique (Guinée)
11322,Algérie,Rio Salado ,,Rio Salado (Algérie)
11323,Algérie,Rio Salado,Cours d\'eau ,Rio SaladoCours d\eau (Algérie)
11324,Sénégal,Rip,Région géographique ,RipRégion géographique (Sénégal)
11325,Canada,Ristigouche,Fort ,RistigoucheFort (Canada)
11326,Bas-Rhin ; France,Rittershoffen ,,Rittershoffen (Bas-Rhin ; France)
11327,Canada,River Hébert ,,River Hébert (Canada)
11328,Algérie,Rivet ,,Rivet (Algérie)
11329,Waterford ; Pennsylvanie ; États-Unis,Rivière-aux-Boeufs,Fort ,Rivière-aux-BoeufsFort (Waterford ; Pennsylvanie ; États-Unis)
11330,"Martinique, Île de la",Rivière-Blanche ,,Rivière-Blanche (MartiniqueÎle de la)
11331,Canada,Rivière-des-Habitants ,,Rivière-des-Habitants (Canada)
11332,"Sainte-Marie ; Réunion, Île de la",Rivière-des-Pluies ,,Rivière-des-Pluies (Sainte-Marie ; RéunionÎle de la)
11333,Canada,Rivière-du-Loup ,,Rivière-du-Loup (Canada)
11334,"Maurice, Île",Rivière-du-Rempart ,,Rivière-du-Rempart (MauriceÎle)
11335,Canada,Rivière-Duchesne,Seigneurie ,Rivière-DuchesneSeigneurie (Canada)
11336,"Martinique, Île de la",Rivière-Lézard ,,Rivière-Lézard (MartiniqueÎle de la)
11337,Canada,Rivière-Ouelle,Seigneurie ,Rivière-OuelleSeigneurie (Canada)
11338,"Martinique, Île de la",Rivière-Pilote/Rivière-Salée,Route ,Rivière-Pilote/Rivière-SaléeRoute (MartiniqueÎle de la)
11339,"Martinique, Île de la",Rivière-Pilote/Sainte-Luce,Route ,Rivière-Pilote/Sainte-LuceRoute (MartiniqueÎle de la)
11340,"Martinique, Île de la",Rivière-Pilote ,,Rivière-Pilote (MartiniqueÎle de la)
11341,Canada,Rivière-Saint-Jean,Fort ,Rivière-Saint-JeanFort (Canada)
11342,"Saint George ; Grenade, Île de",Rivière-Saint-Jean,Habitation ,Rivière-Saint-JeanHabitation (Saint George ; GrenadeÎle de)
11343,"Martinique, Île de la",Rivière-Salée/Sainte-Luce,Route ,Rivière-Salée/Sainte-LuceRoute (MartiniqueÎle de la)
11344,"Martinique, Île de la",Rivière-Salée ,,Rivière-Salée (MartiniqueÎle de la)
11345,"Gourbeyre ; Guadeloupe, Île de la",Rivière-Sens,Quartier ,Rivière-SensQuartier (Gourbeyre ; GuadeloupeÎle de la)
11346,Afrique,Rivières du Sud,Colonie française ,Rivières du SudColonie française (Afrique)
11347,Afrique,Rivières du Sud,Établissements ,Rivières du SudÉtablissements (Afrique)
11348,Alabama ; États-Unis,Rivière aux Chiens,Cours d\'eau ,Rivière aux ChiensCours d\eau (Alabama ; États-Unis)
11349,"Guadeloupe, Île de la",Rivière aux Herbes,Cours d\'eau ,Rivière aux HerbesCours d\eau (GuadeloupeÎle de la)
11350,Vermont ; États-Unis,Rivière aux Loutres,Cours d\'eau ,Rivière aux LoutresCours d\eau (Vermont ; États-Unis)
11351,"Guadeloupe, Île de la",Rivière à Colas,Cours d\'eau ,Rivière à ColasCours d\eau (GuadeloupeÎle de la)
11352,Ohio ; États-Unis,Rivière à la Roche,Cours d\'eau ,Rivière à la RocheCours d\eau (Ohio ; États-Unis)
11353,Tennessee ; États-Unis,Rivière à Margot,Cours d\'eau ,Rivière à MargotCours d\eau (Tennessee ; États-Unis)
11354,Guyane française,Rivière Blanche,Cours d\'eau ,Rivière BlancheCours d\eau (Guyane française)
11355,Ohio ; États-Unis,Rivière Blanche,Cours d\'eau ,Rivière BlancheCours d\eau (Ohio ; États-Unis)
11356,"Saint-Domingue, Île de",Rivière Blanche,Cours d\'eau ,Rivière BlancheCours d\eau (Saint-DomingueÎle de)
11357,"Martinique, Île de la",Rivière Capot,Cours d\'eau ,Rivière CapotCours d\eau (MartiniqueÎle de la)
11358,Canada,Rivière des Canards,Cours d\'eau ,Rivière des CanardsCours d\eau (Canada)
11359,États-Unis,Rivière des Cherakis,Cours d\'eau ,Rivière des CherakisCours d\eau (États-Unis)
11360,États-Unis,Rivière des Chéraquis,Cours d\'eau ,Rivière des ChéraquisCours d\eau (États-Unis)
11361,"Réunion, Île de la",Rivière des Galets,Cours d\'eau ,Rivière des GaletsCours d\eau (RéunionÎle de la)
11362,"Martinique, Île de la",Rivière des Lézards,Cours d\'eau ,Rivière des LézardsCours d\eau (MartiniqueÎle de la)
11363,"Saint-Domingue, Île de",Rivière des Matheux,Cours d\'eau ,Rivière des MatheuxCours d\eau (Saint-DomingueÎle de)
11364,États-Unis,Rivière des Missouris,Cours d\'eau ,Rivière des MissourisCours d\eau (États-Unis)
11365,États-Unis,Rivière des Ouabaches,Cours d\'eau ,Rivière des OuabachesCours d\eau (États-Unis)
11366,États-Unis,Rivière des Paskagoulas,Cours d\'eau ,Rivière des PaskagoulasCours d\eau (États-Unis)
11367,"Guadeloupe, Île de la",Rivière des Pères,Cours d\'eau ,Rivière des PèresCours d\eau (GuadeloupeÎle de la)
11368,"Martinique, Île de la",Rivière des Pères,Cours d\'eau ,Rivière des PèresCours d\eau (MartiniqueÎle de la)
11369,États-Unis,Rivière des Yasous,Cours d\'eau ,Rivière des YasousCours d\eau (États-Unis)
11370,Guyane française,Rivière de Cayenne,Cours d\'eau ,Rivière de CayenneCours d\eau (Guyane française)
11371,"Guadeloupe, Île de la",Rivière de la Digue,Cours d\'eau ,Rivière de la DigueCours d\eau (GuadeloupeÎle de la)
11372,Colombie,Rivière de la Hache,Cours d\'eau ,Rivière de la HacheCours d\eau (Colombie)
11373,"Réunion, Île de la",Rivière de l\'Est,Cours d\'eau ,Rivière de l\EstCours d\eau (RéunionÎle de la)
11374,Texas/Louisiane ; États-Unis,Rivière de Marne,Cours d\'eau ,Rivière de MarneCours d\eau (Texas/Louisiane ; États-Unis)
11375,Sierra Leone,Rivière de Sierra Leone,Estuaire ,Rivière de Sierra LeoneEstuaire (Sierra Leone)
11376,"Saint-Domingue, Île de",Rivière Dormante,Cours d\'eau ,Rivière DormanteCours d\eau (Saint-DomingueÎle de)
11377,"Réunion, Île de la",Rivière du Butor,Cours d\'eau ,Rivière du ButorCours d\eau (RéunionÎle de la)
11378,"Guadeloupe, Île de la",Rivière du Coin,Cours d\'eau ,Rivière du CoinCours d\eau (GuadeloupeÎle de la)
11379,"Martinique, Île de la",Rivière du Fort,Cours d\'eau ,Rivière du FortCours d\eau (MartiniqueÎle de la)
11380,"Martinique, Île de la",Rivière du Galion,Cours d\'eau ,Rivière du GalionCours d\eau (MartiniqueÎle de la)
11381,"Martinique, Île de la",Rivière du Lézard,Cours d\'eau ,Rivière du LézardCours d\eau (MartiniqueÎle de la)
11382,"Réunion, île de la",Rivière du Mât,Cours d\'eau ,Rivière du MâtCours d\eau (Réunionîle de la)
11383,États-Unis/Mexique,Rivière du Nord,Cours d\'eau ,Rivière du NordCours d\eau (États-Unis/Mexique)
11384,"Maurice, Île",Rivière du Rempart,Cours d\'eau ,Rivière du RempartCours d\eau (MauriceÎle)
11385,Canada,Rivière du Sud,Cours d\'eau ,Rivière du SudCours d\eau (Canada)
11386,"Maurice, Île",Rivière du Tombeau,Cours d\'eau ,Rivière du TombeauCours d\eau (MauriceÎle)
11387,Louisiane ; États-Unis,Rivière d\'Iberville,Cours d\'eau ,Rivière d\IbervilleCours d\eau (Louisiane ; États-Unis)
11388,"Saint-Domingue, Île de",Rivière Froide,Plaine de la ,Rivière FroidePlaine de la (Saint-DomingueÎle de)
11389,Saint-Domingue ; Île-de,Rivière Galois,Cours d\'eau ,Rivière GaloisCours d\eau (Saint-Domingue ; Île-de)
11390,"Saint-Domingue, Île de",Rivière Grise,Cours d\'eau ,Rivière GriseCours d\eau (Saint-DomingueÎle de)
11391,"Martinique, Île de la",Rivière Madame,Cours d\'eau ,Rivière MadameCours d\eau (MartiniqueÎle de la)
11392,"Guadeloupe, Île de la",Rivière Mahault,Cours d\'eau ,Rivière MahaultCours d\eau (GuadeloupeÎle de la)
11393,"Saint-Domingue, Île de'",Rivière Momance,Cours d\'eau ,Rivière MomanceCours d\eau (Saint-DomingueÎle de
11394,"Martinique, Île de la",Rivière Monsieur,Cours d\'eau ,Rivière MonsieurCours d\eau (MartiniqueÎle de la)
11395,"Saint-Joseph ; Martinique, Île de la",Rivière Monsieur,Habitation ,Rivière MonsieurHabitation (Saint-Joseph ; MartiniqueÎle de la)
11396,Colombie/Brésil,Rivière Noire,Cours d\'eau ,Rivière NoireCours d\eau (Colombie/Brésil)
11397,"Maurice, Île",Rivière Noire,District ,Rivière NoireDistrict (MauriceÎle)
11398,"Maurice, Île",Rivière Profonde,Cours d\'eau ,Rivière ProfondeCours d\eau (MauriceÎle)
11399,"Guadeloupe, Île de la",Rivière Rouge,Cours d\'eau ,Rivière RougeCours d\eau (GuadeloupeÎle de la)
11400,Texas/Louisiane ; États-Unis,Rivière Rouge,Cours d\'eau ,Rivière RougeCours d\eau (Texas/Louisiane ; États-Unis)
11401,"Guadeloupe, Île de la",Rivière Salée,Bras de mer ,Rivière SaléeBras de mer (GuadeloupeÎle de la)
11402,"Guadeloupe, Île de la",Rivière Sens,Cours d\'eau ,Rivière SensCours d\eau (GuadeloupeÎle de la)
11403,Algérie,Rivière ,,Rivière (Algérie)
11404,Algérie,Rivoli ,,Rivoli (Algérie)
11405,Loire ; France,Roanne ,,Roanne (Loire ; France)
11406,Algérie,Robertville ,,Robertville (Algérie)
11407,Algérie,Robe ,,Robe (Algérie)
11408,"Martinique, Île de la",Rochambeau/Saint-Pierre,Route ,Rochambeau/Saint-PierreRoute (MartiniqueÎle de la)
11409,"Martinique, Île de la",Rochambeau ,,Rochambeau (MartiniqueÎle de la)
11410,Creuse ; France,Rochechouart ,,Rochechouart (Creuse ; France)
11411,Charente-Maritime ; France,Rochefort ,,Rochefort (Charente-Maritime ; France)
11412,Gard ; France,Rochegude ,,Rochegude (Gard ; France)
11413,"Le Diamant ; Martinique, Île de la",Rocher du Diamant,Île ,Rocher du DiamantÎle (Le Diamant ; MartiniqueÎle de la)
11414,Guinée,Rocher d’Alcatraz,Île ,Rocher d’AlcatrazÎle (Guinée)
11415,New York ; États-Unis,Rocher Fendu,Lieu-dit ,Rocher FenduLieu-dit (New York ; États-Unis)
11416,Algérie,Rocher Noir ,,Rocher Noir (Algérie)
11417,Ardèche ; France,Rochessauve ,,Rochessauve (Ardèche ; France)
11418,Roura ; Guyane française,Roche Diamant ,,Roche Diamant (Roura ; Guyane française)
11419,Liberia,Rock Cess ,,Rock Cess (Liberia)
11420,Liberia,Rock Town ,,Rock Town (Liberia)
11421,Aveyron ; France,Rodez ,,Rodez (Aveyron ; France)
11422,Grèce,Rodos,Île de ,RodosÎle de (Grèce)
11423,Haute-Corse ; France,Rogliano ,,Rogliano (Haute-Corse ; France)
11424,Jura ; France,Rogna ,,Rogna (Jura ; France)
11425,Moselle ; France,Rohrbach-lès-Bitche ,,Rohrbach-lès-Bitche (Moselle ; France)
11426,Isère ; France,Roissard ,,Roissard (Isère ; France)
11427,Algérie,Roknia ,,Roknia (Algérie)
11428,Drôme ; France,Romans-sur-Isère ,,Romans-sur-Isère (Drôme ; France)
11429,Drôme ; France,Romans ,,Romans (Drôme ; France)
11430,Italie,Roma ,,Roma (Italie)
11431,Haut-Rhin ; France,Rombach-le-Franc ,,Rombach-le-Franc (Haut-Rhin ; France)
11432,Oise ; France,Romescamps ,,Romescamps (Oise ; France)
11433,Italie,Rome ,,Rome (Italie)
11434,Eure-et-Loir ; France,Romilly-sur-Aigre ,,Romilly-sur-Aigre (Eure-et-Loir ; France)
11435,Aube ; France,Romilly-sur-Seine ,,Romilly-sur-Seine (Aube ; France)
11436,Loir-et-Cher ; France,Romorantin-Lanthenay ,,Romorantin-Lanthenay (Loir-et-Cher ; France)
11437,Loir-et-Cher ; France,Romorantin ,,Romorantin (Loir-et-Cher ; France)
11438,Seine-Maritime ; France,Ronchois ,,Ronchois (Seine-Maritime ; France)
11439,,Ronchoy',,Ronchoy
11440,Nord ; France,Roncq ,,Roncq (Nord ; France)
11441,Val-d\'Oise ; France,Ronquerolles ,,Ronquerolles (Val-d\Oise ; France)
11442,Belgique,Ronse ,,Ronse (Belgique)
11443,Somme ; France,Ronssoy ,,Ronssoy (Somme ; France)
11444,Vietnam,Ron ,,Ron (Vietnam)
11445,Vietnam,Roon ,,Roon (Vietnam)
11446,Bas-Rhin ; France,Roppenheim ,,Roppenheim (Bas-Rhin ; France)
11447,,Roquebrune',,Roquebrune
11448,Var ; France,Roquebrune-sur-Argens ,,Roquebrune-sur-Argens (Var ; France)
11449,Gers ; France,Roquebrune ,,Roquebrune (Gers ; France)
11450,Haute-Garonne ; France,Roquefort-sur-Garonne ,,Roquefort-sur-Garonne (Haute-Garonne ; France)
11451,Aveyron ; France,Roquefort-sur-Soulzon ,,Roquefort-sur-Soulzon (Aveyron ; France)
11452,Aveyron ; France,Roquefort ,,Roquefort (Aveyron ; France)
11453,Aude ; France,Roquetaillade ,,Roquetaillade (Aude ; France)
11454,Natchez ; Mississippi ; États-Unis,Rosalie,Fort ,RosalieFort (Natchez ; Mississippi ; États-Unis)
11455,Algérie,Rosa,Cap ,RosaCap (Algérie)
11456,Finistère ; France,Roscoff ,,Roscoff (Finistère ; France)
11457,"Dominique, Île de la",Roseau ,,Roseau (DominiqueÎle de la)
11458,Nord ; France,Rosendaële ,,Rosendaële (Nord ; France)
11459,Nord ; France,Rosendaël ,,Rosendaël (Nord ; France)
11460,Meurthe-et-Moselle ; France,Rosières-aux-Salines ,,Rosières-aux-Salines (Meurthe-et-Moselle ; France)
11461,Doubs ; France,Rosières-sur-Barbèche ,,Rosières-sur-Barbèche (Doubs ; France)
11462,Doubs ; France,Rosières ,,Rosières (Doubs ; France)
11463,Finistère ; France,Rosnoën ,,Rosnoën (Finistère ; France)
11464,Seine-Saint-Denis ; France,Rosny-sous-Bois ,,Rosny-sous-Bois (Seine-Saint-Denis ; France)
11465,Oise ; France,Rosoy-en-Multien ,,Rosoy-en-Multien (Oise ; France)
11466,Haute-Marne ; France,Rosoy-sur-Amance ,,Rosoy-sur-Amance (Haute-Marne ; France)
11467,Oise ; France,Rosoy ,,Rosoy (Oise ; France)
11468,Yonne ; France,Rosoy ,,Rosoy (Yonne ; France)
11469,Mauritanie,Rosso ,,Rosso (Mauritanie)
11470,Sénégal,Rosso ,,Rosso (Sénégal)
11471,Allemagne,Rothselberg ,,Rothselberg (Allemagne)
11472,Guinée,Rotouma ,,Rotouma (Guinée)
11473,Pays-Bas,Rotterdam ,,Rotterdam (Pays-Bas)
11474,Drôme ; France,Rottier ,,Rottier (Drôme ; France)
11475,Allemagne,Rottweil ,,Rottweil (Allemagne)
11476,Algérie,Rouached ,,Rouached (Algérie)
11477,Algérie,Rouafa ,,Rouafa (Algérie)
11478,Nord ; France,Roubaix ,,Roubaix (Nord ; France)
11479,Seine-Maritime ; France,Rouen ,,Rouen (Seine-Maritime ; France)
11480,France,Rouergue,Région géographique ,RouergueRégion géographique (France)
11481,Sarthe ; France,Rouessé-Vassé ,,Rouessé-Vassé (Sarthe ; France)
11482,Algérie,Rouffach ,,Rouffach (Algérie)
11483,Haut-Rhin ; France,Rouffach ,,Rouffach (Haut-Rhin ; France)
11484,Doubs ; France,Rougemontot ,,Rougemontot (Doubs ; France)
11485,Doubs ; France,Rougemont ,,Rougemont (Doubs ; France)
11486,Algérie,Rouget-de-L\'Isle ,,Rouget-de-L\Isle (Algérie)
11487,Creuse ; France,Rougnat ,,Rougnat (Creuse ; France)
11488,Algérie,Rouïba ,,Rouïba (Algérie)
11489,Algérie,Rouïna ,,Rouïna (Algérie)
11490,Charente ; France,Roullet-Saint-Estèphe ,,Roullet-Saint-Estèphe (Charente ; France)
11491,,Roumanie',,Roumanie
11492,Algérie,Rouma ,,Rouma (Algérie)
11493,Algérie,Roumeriane ,,Roumeriane (Algérie)
11494,Guinée,Roume,Île ,RoumeÎle (Guinée)
11495,Alpes-de-Haute-Provence ; France,Roumoules ,,Roumoules (Alpes-de-Haute-Provence ; France)
11496,Algérie,Roum El Souk ,,Roum El Souk (Algérie)
11497,Guyane française,Roura ,,Roura (Guyane française)
11498,Drôme ; France,Roussas ,,Roussas (Drôme ; France)
11499,"Vieux-Habitants ; Guadeloupe, Île de la",Rousseau,Habitation ,RousseauHabitation (Vieux-Habitants ; GuadeloupeÎle de la)
11500,Drôme ; France,Rousset-les-Vignes ,,Rousset-les-Vignes (Drôme ; France)
11501,"Nouvelle-Calédonie, Île de la",Roussettes,Col des ,RoussettesCol des (Nouvelle-CalédonieÎle de la)
11502,France,Roussillon,Région géographique ,RoussillonRégion géographique (France)
11503,Côte-d’Or ; France,Rouvray ,,Rouvray (Côte-d’Or ; France)
11504,Eure-et-Loir ; France,Rouvres ,,Rouvres (Eure-et-Loir ; France)
11505,Var ; France,Roux,Cap ,RouxCap (Var ; France)
11506,Nièvre ; France,Rouy ,,Rouy (Nièvre ; France)
11507,Algérie,Rovigo ,,Rovigo (Algérie)
11508,Canada,Royale,Île ,RoyaleÎle (Canada)
11509,Guyane française,Royale,Île ,RoyaleÎle (Guyane française)
11510,Charente-Maritime ; France,Royan ,,Royan (Charente-Maritime ; France)
11511,,Royaume-Uni',,Royaume-Uni
11512,Isère ; France,Roybon ,,Roybon (Isère ; France)
11513,Somme ; France,Roye ,,Roye (Somme ; France)
11514,Ille-et-Vilaine ; France,Roz-Landrieux ,,Roz-Landrieux (Ille-et-Vilaine ; France)
11515,Loire ; France,Rozier-Côtes-d\'Aurec ,,Rozier-Côtes-d\Aurec (Loire ; France)
11516,Vietnam,Ro Tuong ,,Ro Tuong (Vietnam)
11517,Hauts-de-Seine ; France,Rueil-Malmaison ,,Rueil-Malmaison (Hauts-de-Seine ; France)
11518,Charente ; France,Ruelle-sur-Touvre ,,Ruelle-sur-Touvre (Charente ; France)
11519,Charente ; France,Ruelle ,,Ruelle (Charente ; France)
11520,Jura ; France,Ruffey-sur-Seille ,,Ruffey-sur-Seille (Jura ; France)
11521,Jura ; France,Ruffey ,,Ruffey (Jura ; France)
11522,Morbihan ; France,Ruffiac ,,Ruffiac (Morbihan ; France)
11523,Sénégal,Rufisque ,,Rufisque (Sénégal)
11524,Allemagne,Ruhr,Région géographique ,RuhrRégion géographique (Allemagne)
11525,Algérie,Ruisseau ,,Ruisseau (Algérie)
11526,Saône-et-Loire ; France,Rully ,,Rully (Saône-et-Loire ; France)
11527,Pas-de-Calais ; France,Rumaucourt ,,Rumaucourt (Pas-de-Calais ; France)
11528,Vosges ; France,Rupt-sur-Moselle ,,Rupt-sur-Moselle (Vosges ; France)
11529,Jura ; France,Rupt ,,Rupt (Jura ; France)
11530,,Russie',,Russie
11531,Pays-Bas,Ryswick ,,Ryswick (Pays-Bas)
11532,Vietnam,R\'Rang ,,R\Rang (Vietnam)
11533,Allemagne,Saarbrücken ,,Saarbrücken (Allemagne)
11534,,Saarland',,Saarland
11535,Allemagne,Saarlouis ,,Saarlouis (Allemagne)
11536,Bas-Rhin ; France,Saasenheim ,,Saasenheim (Bas-Rhin ; France)
11537,Gambie,Sabajee ,,Sabajee (Gambie)
11538,Mali,Sabalibougou ,,Sabalibougou (Mali)
11539,Antilles,Saba,Île ,SabaÎle (Antilles)
11540,Sarthe ; France,Sablé-sur-Sarthe ,,Sablé-sur-Sarthe (Sarthe ; France)
11541,Canada,Sable,Île du ,SableÎle du (Canada)
